Period,212_Malaysia,449_Australia,797_Malaysia,852_Australia,864_Australia
0,1076.262062621784,8331.721972982617,1060.11313659064,16355.654873457876,116.08053962330445
1,2052.524125243568,731.7219729826156,1820.2262731812796,1355.6548734578773,632.1610792466089
2,1002.524125243568,10663.443945965231,820.2262731812796,21211.309746915755,116.08053962330446
3,102.52412524356802,2863.4439459652313,120.22627318127962,4711.309746915755,116.08053962330446
4,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
5,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
6,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
7,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
8,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
9,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
10,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
11,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
12,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
13,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
14,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
15,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
16,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
17,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
18,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
19,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
20,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
21,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
22,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
23,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
24,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
25,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
26,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
27,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
28,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
29,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
30,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
31,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
32,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
33,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
34,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
35,102.52412524356802,731.7219729826156,120.22627318127962,1355.654873457877,116.08053962330446
